# Opcode List for Skysong && ASMule
# made by Gynvael Coldwind & j00ru
# http://gynvael.coldwind.pl/
# http://j00ru.vexillium.org/
#
# Notes:
#   there are opcodes 80, 81, 83.. where is 82???
#   think what to do with the CDW/CDQ and CBW/CWDE case
#   check if LODS has ModR/M
# 
# Mnem        Opcodes   Len  ModR/M    OpReg     Arg1      Arg2      Arg3
# -----------------------------------------------------------------------

  FADD        DCC0     13    -         -         ST(i)     ST(0)     -
  FADDP       DEC0     13    -         -         ST(i)     ST(0)     -
  FIADD       DA        8    yes       0         ST(0)     m32int    -
  FIADD       DE        8    yes       0         ST(0)     m16int    -
  FBLD        DF        8    yes       4         m80bcd    -         -
  FBSTP       DF        8    yes       6         m80bcd    -         -
  FCHS        D9E0     16    -         -         -         -         -
# FCLEX       9BDBE2   24    -         -         -         -         -
  FNCLEX      DBE2     16    -         -         -         -         -
  FCMOVB      DAC0     13    -         -         ST(0)     ST(i)     -
  FCMOVE      DAC8     13    -         -         ST(0)     ST(i)     -
  FCMOVBE     DAD0     13    -         -         ST(0)     ST(i)     -
  FCMOVU      DAD8     13    -         -         ST(0)     ST(i)     -
  FCMOVNB     DBC0     13    -         -         ST(0)     ST(i)     -
  FCMOVNE     DBC8     13    -         -         ST(0)     ST(i)     -
  FCMOVNBE    DBD0     13    -         -         ST(0)     ST(i)     -
  FCMOVNU     DBD8     13    -         -         ST(0)     ST(i)     -
  FCOM        D8        8    yes       2         ST(0)     m32real   -
  FCOM        DC        8    yes       2         ST(0)     m64real   -
  FCOM        D8D0     13    -         -         ST(0)     ST(i)     -
  FCOMP       D8        8    yes       3         ST(0)     m32real   -
  FCOMP       DC        8    yes       3         ST(0)     m64real   -
  FCOMP       D8D8     13    -         -         ST(0)     ST(i)     -
  FCOMPP      DED9     16    -         -         ST(0)     ST(1)     -
  FCOMI       DBF0     13    -         -         ST(0)     ST(i)     -
  FCOMIP      DBF0     13    -         -         ST(0)     ST(i)     -
  FUCOMI      DBE8     13    -         -         ST(0)     ST(i)     -
