# Opcode List for Skysong && ASMule
# made by Gynvael Coldwind & j00ru
# http://gynvael.coldwind.pl/
# http://j00ru.vexillium.org/
#
# Notes:
#   there are opcodes 80, 81, 83.. where is 82???
#   think what to do with the CDW/CDQ and CBW/CWDE case
#   check if LODS has ModR/M
# 
# Mnem        Opcodes   Len  ModR/M    OpReg     Arg1      Arg2      Arg3
# -----------------------------------------------------------------------

  SAL         D1        8    yes       4         r/m32     1         -
  SAL         D3        8    yes       4         r/m32     CL        -
  SAL         C1        8    yes       4         r/m32     imm8      -
  SAR         D0        8    yes       7         r/m8      1         -
  SAR         D2        8    yes       7         r/m8      CL        -
  SAR         C0        8    yes       7         r/m8      imm8      -
  SAR         D1        8    yes       7         r/m32     1         -
  SAR         D3        8    yes       7         r/m32     CL        -
  SAR         C1        8    yes       7         r/m32     imm8      -
  SHL         D0        8    yes       4         r/m8      1         -
  SHL         D2        8    yes       4         r/m8      CL        -
  SHL         C0        8    yes       4         r/m8      imm8      -
  SHL         D1        8    yes       4         r/m32     1         -
  SHL         D3        8    yes       4         r/m32     CL        -
  SHL         C1        8    yes       4         r/m32     imm8      -
  SHR         D0        8    yes       5         r/m8      1         -
  SHR         D2        8    yes       5         r/m8      CL        -
  SHR         C0        8    yes       5         r/m8      imm8      -
  SHR         D1        8    yes       5         r/m32     1         -
  SHR         D3        8    yes       5         r/m32     CL        -
  SHR         C1        8    yes       5         r/m32     imm8      -
  SBB         1C        8    -         -         AL        imm8      -
  SBB         1D        8    -         -         EAX       imm32     -
  SBB         80        8    yes       3         r/m8      imm8      -
  SBB         81        8    yes       3         r/m32     imm32     -
  SBB         83        8    yes       3         r/m32     imm8      -
  SBB         18        8    yes       -         r/m8      reg8      -
  SBB         19        8    yes       -         r/m32     reg32     -
  SBB         1A        8    yes       -         reg8      r/m8      -
  SBB         1B        8    yes       -         reg32     r/m32     -
  SCAS        AE        8    -         -         m8        -         -
  SCAS        AF        8    -         -         m32       -         -
  SETA        0F97     16    yes       -         r/m8      -         -
  SETAE       0F93     16    yes       -         r/m8      -         -
  SETB        0F92     16    yes       -         r/m8      -         -
  SETBE       0F96     16    yes       -         r/m8      -         -
  SETE        0F94     16    yes       -         r/m8      -         -
  SETG        0F9F     16    yes       -         r/m8      -         -
  SETGE       0F9D     16    yes       -         r/m8      -         -
  SETL        0F9C     16    yes       -         r/m8      -         -
  SETLE       0F9E     16    yes       -         r/m8      -         -
  SETNE       0F95     16    yes       -         r/m8      -         -
  SETNO       0F91     16    yes       -         r/m8      -         -
  SETNS       0F99     16    yes       -         r/m8      -         -
  SETO        0F90     16    yes       -         r/m8      -         -
  SETPE       0F9A     16    yes       -         r/m8      -         -
  SETPO       0F9B     16    yes       -         r/m8      -         -
  SETS        0F98     16    yes       -         r/m8      -         -
  SGDT        0F01     16    yes       0         m         -         -
  SIDT        0F01     16    yes       1         m         -         -
  SHLD        0FA4     16    yes       -         r/m32     reg32     imm8
  SHLD        0FA5     16    yes       -         r/m32     reg32     CL
  SHRD        0FAC     16    yes       -         r/m32     reg32     imm8
  SHRD        0FAD     16    yes       -         r/m32     reg32     CL
  SLDT        0F00     16    yes       0         r/m32     -         -
  SMSW        0F01     16    yes       4         r/m32     -         -
  STC         F9        8    -         -         -         -         -
  STD         FD        8    -         -         -         -         -
  STI         FB        8    -         -         -         -         -
  STOS        AA        8    -         -         m8        -         -
  STOS        AB        8    -         -         m32       -         -
  STR         0F00     16    yes       1         r/m16     -         -
  SUB         2C        8    -         -         AL        imm8      -
  SUB         2D        8    -         -         EAX       imm32     -
  SUB         80        8    yes       5         r/m8      imm8      -
  SUB         81        8    yes       5         r/m32     imm32     -
  SUB         83        8    yes       5         r/m32     imm8      -
  SUB         28        8    yes       -         r/m8      reg8      -
  SUB         29        8    yes       -         r/m32     reg32     -
  SUB         2A        8    yes       -         reg8      r/m8      -
  SUB         2B        8    yes       -         reg32     r/m32     -
  TEST        A8        8    -         -         AL        imm8      -
  TEST        A9        8    -         -         EAX       imm32     -
  TEST        F6        8    yes       0         r/m8      imm8      -
  TEST        F7        8    yes       0         r/m32     imm32     -
  TEST        84        8    yes       -         r/m8      reg8      -
  TEST        85        8    yes       -         r/m16     reg16     -
  TEST        85        8    yes       -         r/m32     reg32     -
  UD2         0F0B     16    -         -         -         -         -
  VERR        0F00     16    yes       4         r/m16     -         -
  VERW        0F00     16    yes       5         r/m16     -         -
  WAIT        9B        8    -         -         -         -         -
  FWAIT       9B        8    -         -         -         -         -
  WBINVD      0F09     16    -         -         -         -         -
  WRMSR       0F30     16    -         -         -         -         -
  XADD        0FC0     16    yes       -         r/m8      reg8      -
  XADD        0FC1     16    yes       -         r/m16     reg16     -
  XADD        0FC1     16    yes       -         r/m32     reg32     -
  XCHG        90        5    -         -         EAX       reg32     -
  XCHG        90        5    -         -         reg32     EAX       -
  XCHG        86        8    yes       -         r/m8      reg8      -
  XCHG        86        8    yes       -         reg8      r/m8      -
  XCHG        87        8    yes       -         r/m32     reg32     -
  XCHG        87        8    yes       -         reg32     r/m32     -
  XLAT        D7        8    -         -         m8        -         -
  XOR         34        8    -         -         AL        imm8      -
  XOR         35        8    -         -         EAX       imm32     -
  XOR         80        8    yes       6         r/m8      imm8      -
  XOR         81        8    yes       6         r/m32     imm32     -
  XOR         83        8    yes       6         r/m32     imm8      -
  XOR         30        8    yes       -         r/m8      reg8      -
  XOR         31        8    yes       -         r/m32     reg32     -   
  XOR         32        8    yes       -         reg8      r/m8      -
  XOR         33        8    yes       -         reg32     r/m32     - 

